id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
4VxaUj96W2jw9UOtKHu51p,Goodbye,The Devil's Walk,Apparat,256786,0.484,0.406,0.457,0.646,0.297,0.187,-13.976,0.0456,87.159,1,4,Sad
5rLZGAZOstOC3fqhmGChvK,Goshen,East Harlem,Beirut,200146,0.284,0.848,0.262,0.00483,0.0966,0.107,-9.869,0.028,98.66,11,4,Sad
7ANhXB1OJBaTb7kDoAJRLq,"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Bach,Johann Sebastian Bach,159866,0.566,0.995,0.00792,0.909,0.0874,0.0621,-34.484,0.0445,61.167,3,4,Calm
2bo6ZMPnFkWCd0VRTMwbcs,Goya,Goya,Minxz,235813,0.365,0.994,0.00656,0.888,0.119,0.0809,-21.678,0.0427,68.17,8,5,Calm
1TSpCeUusXyZ7FiaDuy3x1,Gracewood (Revisited),In Between (A-Side),Steven Vrancken,139050,0.353,0.969,0.0544,0.915,0.106,0.158,-22.657,0.0408,74.883,8,4,Calm
4kjbflfFCcNWkBGWvYBSxz,Green Street,Green Street,Alexander Motovilov,133125,0.373,0.978,0.191,0.944,0.0737,0.411,-24.099,0.0302,96.682,7,4,Calm
2UVLuddklEVak5PXgC7baA,Groove Is in the Heart,Rhino Hi-Five: Deee-Lite,Deee-Lite,231786,0.694,0.0153,0.881,0.0196,0.0851,0.924,-4.053,0.0701,121.554,1,4,Happy
3ktUAf5M4HiCt6n7Zb323H,Groovin,Groovin,Sir Roy,267152,0.845,0.0447,0.744,0.343,0.13,0.694,-9.539,0.0567,126,10,4,Energetic
7lUjs7bf1fjKI8HKhbNp6z,Guernica,Deja Entendu,Brand New,203173,0.382,0.127,0.907,5.65E-06,0.0915,0.346,-6.383,0.295,183.35,10,4,Energetic
3EKKIR8be1kfAAwaz1fzyS,Halfway There (feat. Lena Leon),Halfway There (feat. Lena Leon),Tiësto,195000,0.59,0.000753,0.888,0.00535,0.817,0.0715,-4.151,0.0797,128.025,0,4,Energetic
3ekjqtjoDwy5YLuGtKoXDO,Handful Of Redemption,Tomorrow Come Today,Boysetsfire,240253,0.508,0.00022,0.947,0.0315,0.0784,0.419,-3.684,0.0531,163.731,3,4,Energetic
1qv9TWDpXh50DPLgWD4bnH,Happy Ending,Body And Soul,Joe Jackson,218466,0.635,0.0973,0.808,0,0.141,0.726,-5.026,0.0262,131.377,9,4,Happy
1JO1xLtVc8mWhIoE3YaCL0,Happy Together,Happy Together,The Turtles,176293,0.584,0.55,0.367,1.38E-05,0.0818,0.588,-9.638,0.0328,120.175,6,4,Happy
2KK7OUblFkd7TT9TjWgW7z,Harvest Love,Harvest Love,Tash Sultana,365928,0.276,0.314,0.251,6.05E-06,0.122,0.18,-9.078,0.0295,95.705,2,4,Sad
2mPMFJvQ0v27gVqe5b6nDn,Hash Pipe,Weezer (Green Album),Weezer,186533,0.578,0.000121,0.882,0.479,0.284,0.623,-6.354,0.044,125.603,7,4,Energetic
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Heaven (David Guetta & MORTEN Remix),Avicii,215238,0.572,0.00292,0.934,0.0198,0.105,0.204,-5.053,0.0446,125.948,6,4,Happy
0M6TLjxixptslrmQpWbRoR,Heavenly,Heavenly,Cigarettes After Sex,288594,0.539,0.617,0.432,0.692,0.11,0.133,-9.298,0.0249,105.196,8,4,Sad
3vqt0fEt6I52ANHu7mAlIP,Heavy,Home,Collective Soul,177213,0.535,0.000919,0.854,0.00149,0.0676,0.618,-6.519,0.0368,106.929,1,4,Energetic
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,185733,0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484,0.0347,129.171,9,4,Happy
